Model,Category,RMSE,MAE,MAPE
Prophet,Cargo Pants,2.2842716373689593,1.997740093104496,77537917370.91272
Prophet,Crop Tops,2.1947159437286614,1.9493359240473442,96833439032.83836
Prophet,Hoodies,6.280445403119732,4.824647994261426,77670469534.28693
Prophet,Jackets,1.4448114025611147,1.218705431872777,67138957708.55621
Prophet,Pants,1.7633349476966298,1.5052802373213623,96741046625.61626
Prophet,T-Shirts,2.9869841215414756,2.3597786693680973,66760623099.93899
XGBoost,Cargo Pants,2.629224327966294,2.3129970419999997,100054369060.44124
XGBoost,Crop Tops,2.613487897314844,2.213737889666667,87375419052.86421
XGBoost,Hoodies,7.382811637511681,5.594583643333333,95461030074.47458
XGBoost,Jackets,1.2703243330560547,1.1034534313333333,54308072495.30649
XGBoost,Pants,1.8811456107681692,1.5811864686666663,99148755696.71289
XGBoost,T-Shirts,3.2436866448793484,2.7233245933333334,72700859071.41472
